,HELBIDEA/DIRECCION
3006,"TXOMIN EGILEOR, 35 A MAXAM"
3007,"ARTOLA, 17"
3008,"ARTOLA, 17"
3009,ERREKALDE
3010,ERREKALDE
3011,GERNIKA 54A
3012,GERNIKA 54A
3013,POLIGONO APERRIBAI (PUENTE VASCONIA)
3014,POLIGONO APERRIBAI (PUENTE VASCONIA)
3015,CL TXOMIN EGILEOR 7C
3016,CL OLETXE 43
3017,BO ZUATZAURRE 1
3018,BO ZUATZAURRE 2
3019,CL URRETA 11-B
3020,BO OLABARRIETA 28
3021,JARRULLADA AUZOA 3  
3022,LUGAR BARRIO EL CERCO 2002  
3023,"B.º CASA NUEVA, N.º 3"
3024,LUGAR BARRIO JARRULLADA 4A  
3025,"B.º CASA NUEVA, N.º 3"
3026,"B.º EL CERCO, N.º 12"
3027,LOS LOMBANOS AUZOA
3028,KARRANTZA
3029,KARRANTZA HARANA
3030,"Bº VALLEJAS-LACIGUTI, 3-C "
3031,"Bº LLANO, 42"
3032,"B.º LLANO, N.º 54"
3033,"MONTELLANO-LAS CASAS, N.º 10"
3034,"B.º CASA NUEVA, N.º 5"
3035,"B.º LLANO, N.º 46"
3036,"B.º CASA NUEVA, N.º 3"
3037,"MOLINO DE VALDIVIAN, N.º 1"
3038,"BARRIO LA OLLA, N.º 2"
3039,"B.º LOS MOLINOS, N.º 2"
3040,"B.º MONTELLANO-LAS CASAS, N.º 8"
3041,"B.º ZUBIAGA, N.º 15"
3042,"B.º LA HERRERIA, N.º1"
3043,"B.º LARREA, N.º 11"
3044,"SAN PEDRO, N.º 41"
3045,"B.º EL ESCOBAL, N.º 4"
3046,"Bº MONTELLANO-LAS CASAS, Nº 47"
3047,"B.º EL BENTORRO, N.º 3"
3048,"B.º MONTELLANO-ACABAJO, N.º 2"
3049,"LA HERRERIA, N.º 1"
3050,"EL CERCO, N.º 6"
3051,"B.º MONTELLANO- ACABAJO, 1"
3052,"B.º SAN PEDRO, N.º 19"
3053,"B.º EL ESCOBAL, N.º 4"
3054,"EL CERCO, N.º 6"
3055,"MONTELLANO - ACABAJO, N.º 2"
3056,"Bº EL CERCO, Nº 3"
3057,"TXABARRI, 8"
3058,GALDAMES TXABARRI 7
3059,"Bº LLANO, 30"
3060,"SAN PEDRO,45"
3061,PARQUE ATXURIAGA
3062,"CASANUEVA, Nº 3"
3063,"B.º LLANO, N.º 7"
3064,"B.º LLANO, N.º 30"
3065,"LLANO AUZOA, 30"
3066,"B.º ZUBIAGA, N.º 12 - BAJO"
3067,"B.º EL CERCO, N.º 12"
3068,"B.º LAISEKA, N.º 4"
3069,GALDAMES EL BENTORRO 13
3070,"SAN PEDRO, N.º 15"
3071,"B.º LAISEKA, N.º 8"
3072,"EL BENTORRO, N.º 13"
3073,"MONTELLANO-LAS CASAS, N.º 35"
3074,SALLORTUN- EL AVELLANAL
3075,"MONTELLANO- ACABAJO, 11"
3076,"SAN PEDRO, N.º 19"
3077,"B.º LOS MOLINOS, N.º 3"
3078,SAN ESTEBAN
3079,"B.º SAN ESTEBAN, 2"
3080,"B.º GARAY, N.º 9"
3081,"B.º MONTELLANO- ACABAJO, N.º 2"
3082,"B.º CASA NUEVA, N.º 1"
3083,BO LLANO 22
3084,BO LARREA 
3085,BARRIO ELEXALDE 36  
3086,BARRIO ELEXALDE 21A  
3087,ERGOIEN 8
3088,GÁMIZ-FICA
3089,MENDOTZA 16
3090,IBARRA 11A
3091,ERGOIEN 22
3092,ERGOIEN 56
3093,ERGOIEN 95
3094,ERGOIEN 46 APROXIMACION
3095,ERGOIEN 197 
3096,Bº ERGOIEN 103
3097,Bº ELEXALDE 58C
3098,ERGOIEN 89A
3099,ELEXALDE 42
3100,ERGOIEN 177
3101,Bº ELEXALDE 55
3102,MENDOTZA AUZOA 40 (48113)
3103,ERGOIEN 36A
3104,MENDOTZA 26
3105,CL GOBELAURRE 41
3106,MENDOTZA 9
3107,ERGOIEN 115
3108,ELEXALDE 51D
3109,ERGOIEN 181
3110,ERGOIEN 181
3111,GOIERRI 6
3112,GOIERRI AUZOA 5  
3113,MOMOITIO
3114,BARRIO MOMOITIO 10  
3115,MOMOITIO
3116,SAN MIGEL AUZOA 14 (48200)
3117,Bº SAN MIGEL Nº 24
3118,LUGAR BARRIO SAN MIGEL 6DUP (48200)
3119,LUGAR BARRIO MOMOITIO 11Z (48200)
3120,Bº SAN MIGEL Nº 19
3121,LUGAR BARRIO GOIERRI 48E (48200)
3122,"ZURBANO,45"
3123,"BARRIO GARAI, 53 BAJO"
3124,ZURBANO AUZOA 45  
3125,"BARRIO UGARTE, 67 BAJO"
3126,"BARRIO UGARTE, 46 BAJO"
3127,"GORORDO, 33"
3128,"BARRIO IGARTUA, 32 BAJO"
3129,"URBANIZACIÓN LUBARRIETAONDO, 28 BAJO"
3130,"BARRIO SERTUTXA, 61 BAJO"
3131,"BARRIO BUTRON, 20 BAJO"
3132,"BARRIO 56, BAJO  "
3133,"CERCA DE BARRIO GARAI, 56"
3134,"CERCA DE BARRIO BUTRÓN, 34 BAJO"
3135,"BARRIO ZURBAO, 20 BAJO"
3136,"BARRIO IGARTUA, 25 BAJO"
3137,"BARRIO ZURBAO, 35 BAJO"
3138,"BARRIO ZURBAO, 18 BAJO"
3139,"BARRIO IGARTUA, 46"
3140,"BARRIO URRESTI, 5 BAJO"
3141,"ZURBANO, 42"
3142,"BARRIO URRESTI, 10 BAJO"
3143,"BARRIO IGARTUA, 24 BAJO"
3144,"BARRIO GARAI, 53"
3145,"BARRIO SERTUTXA, 48 BAJO"
3146,"BARRIO UGARTE, 13"
3147,"SERTUTXA, 76"
3148,"SERTUTXA, 5"
3149,LUGAR BARRIO SERTUTXA 11A (48110)
3150,ZURBANO 11
3151,"URRESTI, 7"
3152,"IGARTUA, 25"
3153,"BARRIO BUTRON, 1"
3154,"BARRIO GARAI, 59 BAJO"
3155,"BARRIO URRESTI, 7 BAJO"
3156,"URBANIZACIÓN LUBARRIETAONDO, 54"
3157,"BARRIO GORORDO, 7 BAJO"
3158,"BARRIO URRESTI, 5 BAJO"
3159,"BARRIO SERTUTXA, 45"
3160,"BARRIO ZURBAO, 8 BAJO"
3161,"BARRIO GARAI, 47"
3162,BARRIO GORORDO 1
3163,"ZURBANO, 51"
3164,"BARRIO UGARTE, 24"
3165,"BARRIO SERTUTXA, 33 BAJO"
3166,"BARRIO GARAI, 45 BAJO DCHA."
3167,BUTROI AUZOA 25  
3168,JANEKO ETXEBARRI BIDEA
3169,"BARRIO BUTRON, 34 BAJO"
3170,"BARRIO GARAI, 16 "
3171,"BARRIO GORORDO, 7 BAJO"
3172,"SERTUTXA, 65"
3173,UGARTE AUZOA 47 (48110)
3174,"BARRIO SERTUTXA, 46"
3175,"ZURBANO, 8"
3176,ZURBANO BI-3709
3177,"BUTRON,16"
3178,"ZURBANO, 32"
3179,"BUTRON, 42"
3180,"BARRIO IGARTUA, 41"
3181,"BARRIO BUTROE, 16"
3182,"BARRIO ZURBAO, 36 BAJO"
3183,"BARRIO GORORDO, 26 BAJO IZDA."
3184,"BARRIO GORORDO, 22 BAJO IZDA."
3185,ZURBANO AUZOA 17 (48110)
3186,BARRIO ZURBANO 19
3187,"UGARTE, 68"
3188,GARAI 66 GATIKA
3189,"IGARTUA, 14 IZQ"
3190,"BARRIO GARAI, 66"
3191,"LUBERRIETAONDO, 57"
3192,"ZURBANO, 52"
3193,"SERTUTXA, 17"
3194,ZURBANO 53
3195,"URRESTI, 1"
3196,ZURBANO AUZOA 17 (48110)
3197,BARRIO IGARTUA 39
3198,"GARAI, 59"
3199,"LIBARONA, 19"
3200,"URRESTI, 18"
3201,GARAI AUZOA 53 (48110)
3202,"LIBARONA, 19"
3203,"URRESTI,7"
3204,"URRESTI,7"
3205,KANALA
3206,LUGAR BARRIO ARTEAGA-URIA 
3207,"KALTZAONDO, 13"
3208,BARRIO ZELAIETA 60A  
3209,BARRIO ZELAIETA 60A  
3210,"KANALA, 32"
3211,"HERRIKO ENPARANTZA, 4"
3212,"ZELAIETA, 19"
3213,KANALA AUZOA 4  
3214,"MENDIALDUA, 14-16"
3215,ISLA BEKOA
3216,ARTEAGA-URIA
3217,BASATXETAS
3218,"GAZTELUBIDE, 10"
3219,ERREKALDE
3220,ISLA BEKOA
3221,"ITURRIBIDE, 9"
3222,"ERREKALDE, 6"
3223,"ORUETA, 10"
3224,"ERREKALDE, 4"
3225,ERREKALDE
3226,KALTZAONDO 12
3227,ORUETA 3
3228,ZELAIETA 45
3229,ZELAIETA 45
3230,"GAZTELUBIDE, 7"
3231,"GAZTELUBIDE, 7"
3232,"PORTUA, 7"
3233,ARTEAGA-URIA
3234,ZELAIETA
3235,ZELAIETA
3236,"ORUETA, 3"
3237,BI-3234  (48314)
3238,"KANALA, 39"
3239,BASETXETA Nº-4
3240,"BASETXETAS, 4"
3241,"BASETXETAS, 4"
3242,"BASETXETAS, 4"
3243,"BASETXETAS, 4"
3244,"HERRIKO ENPARANTZA, 1"
3245,BI-3234  (48314)
3246,ERREKALDE AUZOA 4 (48314)
3247,LUGAR BARRIO ISLA GOIKOA 6A (48314)
3248,"ITURRIBIDE, 5"
3249,"ITURRIBIDE, 16"
3250,ORUETA
3251,BARRIO ZELAIALDE 7 (48314)
3252,BO PORTUA 7
3253,SAN PEDRO 33
3254,PEDRO ELEJALDE 20 4H
3255,KANPANTXU
3256,FRAY MARTIN DE MURUA KALEA 11  
3257,CARLOS GANGOITI KALEA 64  
3258,IBARRA Nº13
3259,ZALLO 14
3260,ARANA
3261,SAN JUAN KALEA 21  
3262,ALDAPE KALEA 7002 (48300)
3263,LORATEGIETA
3264,ALLENDE SALAZAR 5
3265,ARANA AUZOA 39 (48300)
3266,BARRIO SAN PEDRO 32
3267,SAN PEDRO 12
3268,ARANA 31
3269,SAN PEDRO AUZOA 35 (48300)
3270,INDEPENDENTZIA 88-100
3271,ITURRIBIDE ETXETALDEA 12 (48940)
3272,EUZKO GUDARIAK ETORBIDEA 1 (48940)
3273,KALEA GAZTELUBIDE 16A (48940)
3274,COLEGIO ASKARTZA CLARET
3275,Bº ARTATZA 16
3276,LEKUEDER
3277,COLEGIO IRLANDESAS
3278,SANTSOENA 7
3279,JUAN KALZADA 28
3280,KALEA ANGEL ALLENDE SALAZAR 1005  
3281,JUAN CALZADA KALEA 57  
3282,CRTA. KORTEZUBI 17 (48300)
3283,"CARLOS GANGOITI,22"
3284,AITA LUIS VILLASANTE 1
3285,KORTEZUBI BIDEA
3286,MERTZEDE KALEA Nº7
3287,ZALLO AUZOA
3288,ALLENDE SALAZAR
3289,BARRIO ZALLO Nº16
3290,FRAI MARTIN DE MURUA 62
3291,SAN PEDRO Nº23 A
3292,KARMELO ETXEGARAI 6
3293,MERTZEDE
3294,JUAN KALZADA
3295,ZEARRETA KALEA
3296,CARLOS GANGOITI 
3297,KORTEZUBI BIDEA Nº17
3298,PEDRO ELEJALDE 13A D
3299,BO ZALLO 14
3300,ATXEKOLANDETA 1
3301,LOS CHOPOS 30
3302,BASAGOITI 43 CHALET
3303,AVENIDA DE LOS CHOPOS 34
3304,CALLE ARTIBAI 3
3305,CAMINO PEATONAL PARALELO AL RIO
3306,LERTEGUI 6 PO 1 BAJO A
3307,DILIZ 15
3308,ZIENTOETXE 10
3309,AIBOA 24
3310,CAMPO DE GOLF
3311,LARRAÑAZUBI 14
3312,ESTRADA ITURGITXU
3313,"C/ LERTEGI, 16,3ª"
3314,MIRAMAR 6
3315,GOLF DE LA GALEA
3316,AVDA FERROCARRIL 14 A
3317,ALDAPAS 22 7º
3318,AVD CHOPOS
3319,FADURAZO 23
3320,MOREAGA 1
3321,CENTRO ALTO RENDIMIENTO FADURA
3322,EDIFICIO SANTA CLARA. URBANISMO DE GETXO
3323,"CALLE SARRI, 1"
3324,"MAYOR KALEA, 17"
3325,SAGRADO CORAZON 5. RESIDENCIA SOFIA BARAT
3326,ITSASONDO 3
3327,CL BOSTGARRENA 14
3328,POLIDEPORTIVO FADURA
3329,"ZUGATZARTE ETORBIDEA, 21"
3330,"BIDEBARRI KALEA, 12"
3331,LOS CHOPOS S/N
3332,"ITURRIANE ESTRATA, 2"
3333,AIBOA 13
3334,"MARTITURRI ESTARTA, 32"
3335,"DILIZ ESTRATA, 18"
3336,REAL SOCIEDAD DE GOLF DE NEGURI
3337,VILLAMONTE B 19
3338,SARRIKOBASO Nº48 2ºD
3339,"SAN NICOLAS KALEA, 2"
3340,"CALLE ITVRGITXI KALEA, 15"
3341,"BAJADA DE EREAGA KALEA, 17"
3342,"URBASA KALEA, 15"
3343,"GABRIEL RAMOS URANGA KALEA, 16F"
3344,PUERTO DEPORTIVO DE GETXO
3345,LOS CHOPOS ETORBIDEA 60 (48992)
3346,PUERTO DE ORDUÑA KALEA 18 (48993)
3347,"BENTURILLENA KALEA, 4"
3348,"PASEO DEL PUERTO KALEA, 24"
3349,"JUAN VALLEJO REAL DE ASUA KALEA, 14"
3350,"KASUNE KALEA, 20"
3351,"ATXEKOLANDETA KALEA, 1"
3352,"ATXEKOLANDETA KALEA, 15"
3353,"LEIOA ETORBIDEA, 41"
3354,"CALLE MIGUEL DE BEASCOA, 1A"
3355,CHOPOS
3356,"ORMATZAONDO KALEA, 7"
3357,"BENTURILLENA KALEA, 4"
3358,"ZARRENEBARRI KALEA, 2"
3359,CALLE BILBAO Nº3
3360,CARETERA DEL FARO 18 1ºB
3361,"TOSU ESTARTA, 8"
3362,"BIDEZABAL KALEA, 18"
3363,ZIENTOETXE 2
3364,UNBE 1
3365, DILIZ 17
3366,JUAN VALLEJO REAL DE ASUA 3 B
3367,"CRISTOBAL COLON KALEA, 9"
3368,"CALLE MUGARRA KALEA, 6"
3369,"ITURGITXI KALEA, 28"
3370,"SALSIDU ETORBIDEA, 79"
3371,"ARENE KALEA, 2"
3372,"ALDAPA KALEA, 11"
3373,"JAIME MORERA KALEA, 10"
3374,"JOLASTOKIETA KALEA, 3"
3375,LARRAÑAZUBI 12
3376,LOS CHOPOS 39
3377,"EVARISTO CHURRUCA KAIA, 8"
3378,"AMANN KALEA, 5"
3379,"ZUGATZARTE ETORBIDEA, 48"
3380,"BENTURILLENA KALEA, 4"
3381,TXURRUKA
3382,"LOS CHOPOS ETORBIDEA, 11"
3383,"LOS CHOPOS ETORBIDEA, 81"
3384,"BIDEBARRI KALEA, 13"
3385,"AMANN KALEA, 9"
3386,"ZUGATZARTE ETORBIDEA, 22 B"
3387,"TORREBARRIA KALEA, 2"
3388,"GAZTELUMENDI KALEA, 6"
3389,"BENTURILLENA KALEA, 14, GUECHO, ESPAÑA"
3390,AV BASAGOITI 44
3391,"GAZTELUMENDI KALEA, 5"
3392,"ARENEAZPI KALEA, 3"
3393,"AV. BASAGOITI ETORBIDEA, 47"
3394,ALDAPAS Nº 4
3395,MAIDAGAN 47 A
3396,KAIOA Nº3
3397,"TALAIETA KALEA, 12"
3398,"TXAKURSOLO KALEA, 19"
3399,"BIZKERRE KALEA, 4"
3400,"ALDAPA KALEA, 22"
3401,"BIDEBARRI, 12"
3402,"TOSU ESTARTA, 10"
3403,AVDA. ALGORTA Nº56
3404,ALDAPA 17
3405,TXAKURSOLO Nº19 2ºB
3406,FUEROS 23
3407,MARIA GOIRI  Nº7
3408,ESTRADA GOÑI  Nº3
3409,ZARENEBARRI Nº2 2ºC
3410,ITURGUITXI  TRASERA
3411,SATISTEGI Nº1  BAJO B
3412,"IBATAO KALEA, 9A"
3413,"MARQUES DE ZUYA KALEA, 13"
3414,"MARTIKOENA KALEA, 2"
3415,"PARTICULAR DE URI KALEA, 16"
3416,TELLETXE 2
3417,REAL SOCIEDAD DE GOLF DE NEGURI
3418,"ALDAPA KALEA, 19"
3419,"ZARRENEBARRI KALEA, 9"
3420,"SALSIDU ETORBIDEA, 33"
3421,AREETAKO KAIA 56 (48930)
3422,"UDABERRIA KALEA, 4"
3423,DYA (DETENTE Y AYUDA)
3424,BIZKARGI KALEA 10A (48993)
3425,"ALTUBE KALEA, 1"
3426,"TXAKURSOLO KALEA, 9"
3427,ITURGITXI
3428,"LEIOA ETORBIDEA, 1"
3429,"ONDATEGI KALEA, 9"
3430,"JUAN CUADRADO KALEA, 3F"
3431,CALLE EUSKAL HERRIA
3432,"MURU ESTARTA, 2"
3433,"ERROTALDE KALEA, 14"
3434,LARRAÑAZUBI KALEA 32 (48992)
3435,ATXEKOLANDETA KALEA 3 (48992)
3436,ZARRENEBARRI KALEA 9 (48992)
3437,LORENZO AREILZA 2-B
3438,BELATZA 13
3439,"ENRIQUE ARESTI 4, 4B"
3440,NEGUBIDE 51 B 1ºA
3441,AIBOA 23 1ºA
3442,JUAN VALLEJO REAL DE ASUA 9
3443,PAGASARRI 25
3444,JUAN VALLEJO REAL DE ASUA 26 
3445,KALEA JUAN VALLEJO REAL DE ASUA 26A  
3446,LARRAÑAZUBI 17
3447,ARETXONDO 4
3448,VENANCIO ETXEBARRIA 17 8ºIZQ
3449,PASEO DEL PUERTO 23 2º
3450,ILLETA 15
3451,ITURRIANE 4
3452,SARRIKOBASO 
3453,ITURGITXI 23-25
3454,ITURGITXI 21 4º IZQ
3455,ITURGITXI 23 4ºC
3456,AIBOA 20-22
3457,JULIAN GARAIZA 1
3458,"EUSKAL HERRIA 15, 7F DERECHA"
3459,ARENE Nº 13 3ºD
3460,ELKANO 9 3ºA
3461,LARRAÑAZUBI 7
3462,LOS CHOPOS ETORBIDEA 18  
3463,LARRAÑAZUBI 7
3464,CADI CARLOS 12
3465,ALDAPA Nº 1
3466,EUSKAL HERRIA Nº 5 INT DCHA
3467,ESTRADA PERUNE 12-C
3468,ARENE KALEA 62  
3469,"TELLETXE, 1A ESC DCHA 5ºIZQ"
3470,AVENIDA ZUGAZARTE 63
3471,JUAN CUADRADO CON URI
3472,BIDEZABAL 18 4ºD
3473,ALDAPA 2
3474,ITURGITXI Nº 21 4º IZQ
3475,VILLA DE PLENTZIA 30 5ºB
3476,ITURGITXI 19
3477,ITURGITXI 21
3478,ALANGOETA Nº 21 2 IZQ
3479,CTRA. ASUA-LA AVANZADA Nº 11A 1ºIZQ
3480,ARENE 6
3481,IBATAO 9A
3482,ITURGITXI Nº 15
3483,IBATAO 9A
3484,IBATAO 9A
3485,PASEO DEL PUERTO 20 A 
3486,"MARQUES DE ZUYA KALEA, 5B"
3487,"ESTRADA SALSIDUALDE, 3"
3488,"SARRIKOBASO ,31"
3489,"LARRAÑAZUBI KALEA, 12"
3490,ARRILUZEKO KAIA
3491,"BIDEZABAL KALEA, 20"
3492,POLIDEPORTIVO FADURA
3493,"PASEO DEL PUERTO KALEA, 22"
3494,"BIDEZABAL KALEA, 22"
3495,"ALDAPA KALEA, 16"
3496,"ARENE KALEA, 6"
3497,"MARTITURRI ESTARTA, 32"
3498,CALLE IZARO
3499,"CERVANTES KALEA, 8"
3500,"AIBOA KALEA, 22"
3501,"BASOTXU BIDEA, 43"
3502,"BAJADA DE ARRIGUNAGA KALEA, 11"
3503,CALLE ZUMARDIA
3504,"JUAN VALLEJO REAL DE ASUA KALEA, 14"
3505,CAMPO DE GOLF LA GALEA
3506,VILLA DE PLENTZIA 32 BAJO A
3507,IZARO 18
3508,PLAZA DE SANTA ANA
3509,MONTE JATA 22 1ºIZQ
3510,PLAZA ALANGO
3511,JOAQUIN ARIZAGA 4 1ºB
3512,PASAGARRI FRENTE AL Nº 7
3513,CEMENTERIO DE GETXO 
3514,MAXIMO AGUIRRE CON MUELLES DE TOMAS OLABARRI
3515,SALSIDU CON SARRIKOBASO
3516,TALAIETA Nº 5
3517,VILLA DE PLENTZIA 42
3518,CARRETERA LA GALEA
3519,PASEO DEL PUERTO Nº 20A
3520,VILLA PLENCIA 38
3521,IPARBIDE 11 
3522,MARQUES DE ZUYA 25
3523,"BIZKERRE KALEA, 4"
3524,"ZIENTOETXE ERREPIDEA, 45"
3525,ES PERUNE 10
3526,CL BIZKERRE 11-A
3527,CL MARTIKOENA 2-A
3528,CL OTXOA ORTIZ 15
3529,GOITIOLTZA 40
3530,GARAIOLTZA 152
3531,GOITIOLTZA 1
3532,ARETXALDE AUZOA 11 (48196)
3533,CL SAN MARTIN 5-A
3534,CL ORMETXE 17
3535,CL JUAN VALLEJO REAL DE ASUA 26-002
3536,CL JUAN CUADRADO 
3537,CL ALDAPA 8
3538,ZUGATZARTE 27
3539,"EGUEN AUZOA, 9 C"
3540,"OKAMIKA AUZOA, 6"
3541,"LARIZ AUZOA, 12, ARRANGIZ BASERRIA"
3542,"OKAMIKA AUZOA, 9 LANDETA BASERRIA"
3543,OKAMIKA AUZOA 3B  
3544,"LAXIER AUZOA 2, AKUIOLA"
3545,"LAXIER AUZOA, Z/G"
3546,"OKAMIKA AUZOA, 6-7 ARTEAN"
3547,"OKAMIKA AUZOA, 9, LANDETA "
3548,"OKAMIKA AUZOA, 6, IRUARTZA"
3549,"ELEIZALDEA, 4, ELIZA"
3550,"ELEIZALDEA, 4, ELIZA"
3551,"LAXIER AUZOA, 1, ERESA BASERRIA"
3552,"OKAMIKAKO INDUSTRIALDEA II, 1. PAB."
3553,PONTON URARTE 18
3554,SAN JUAN DE BERBIKEZ AUZOA 4  
3555,AZKARAI 10
3556,CALZADA DE ZUBIETE
3557,JUNTO A AUTOPISTA
3558,PABELLONES
3559,POLIGONO INDUSTRIAL ISASI (ZUBIETE)
3560,CALZADA EL PONTON URARTE
3561,SUBIDA BERBIKEZ NI 3621 PK 20
3562,KAPARROLI
3563,CALZADA EL PONTON-URARTE Nº 1
3564,CARRETERA SAN JUAN DE BERBIKEZ Nº 1
3565,SANDAMENDI 12
3566,KAPARROLI
3567,ZUBIETE Nº50
3568,UGARTE Nº 2
3569,UGARTE 9
3570,CALZADA DE ZUBIETE 23
3571,LLANAS DE IRATZAGORRIA 2
3572,LA CASILLA Nº 3
3573,BERDUGAL-IBARDUGAIN 5ºA
3574,BERDUGAL-IBARDUGAIN Nº 5A
3575,ZABALLA Nº 1
3576,BERDUGAL Nº 18
3577,AZKARAI Nº 14
3578,ASPURU Nº 2
3579,LA CALZADA Nº 23
3580,UGARTE Nº 5
3581,CARRETERA BI-3641 (SODUPE-OKENDO)
3582,AZPURU Nº 2
3583,ZUBIETE Nº 93
3584,SANDAMENDI Nº 38
3585,CAMINO ARETXABALA
3586,SANDAMENDI Nº 31
3587,CEMENTERIO MUNICIPAL
3588,CALZADA ZUBIETE Nº 20
3589,CALZADA ZUBIETE Nº 10
3590,LA LLANA DE IBARRA Nº 49
3591,LARGATXA Nº2
3592,BERDUGAL-IBARDUGAIN Nº 21
3593,LA CALZADA DE IRATZAGORRIA 13
3594,KAPARROLI
3595,"ZUBIETE, 1"
3596,BARRIO LA CALZADA DE ZUBIETE 22
3597,ZUBIETE
3598,IBAIONDO 8
3599,LAS LLANAS DE IRATZAGORRIA Nº 15
3600,ZUBIETE Nº 42 PABELLÓN 8
3601,"EL PONTON URARTE ,  19 "
3602,LA CALZADA DE ZUBIETE Nº 6
3603,BO ZUBIETE 53
3604,BO ERROTAIEGA 4
3605,BO LAS LLANAS DE IRATZAGORRIA 13
3606,"ITSASBIDE KALEA, 47"
3607,AXPE KALEA
3608,ITURRI LABURBIDE 2
3609,GUZURMEDI BIDEA
3610,MASTIETA BIDEA 5
3611,ANDRA MARI BIDEA
3612,GORLIZ ONDARGANE
3613,CALLE KINPULENE 75
3614,ARGIÑENA 10 B - 4º DR.
3615,ESTRADA ARTEBIONDO
3616,IKAKBIÑE  HUERTA
3617,CARRETERA UREZARANTZA IBILTOKI 8F  
3618,ETORBIDEA GASATZA BIDEA 1G  
3619,UREZARANTZA BIDEA Nº 10A 3º DR
3620,TERRENO BAJO ROTONDA BARCO
3621,TERRENO BAJO ROTONDA BARCO
3622,URESARANTZA
3623,BIDEA ZABALE 22A  
3624,CARRETERA UREZARANTZA IBILTOKI 8X  
3625,MARTIAURRE KALEA
3626,UREZARANTZA BIDEA 8
3627,ORBETA BIDEA 13
3628,"ANDRA-MARI KALEA, 10"
3629,MANDAÑU BIDEA
3630,ORBETA BIDEA 8
3631,BUTRON BIDEA
3632,ARAMINZA BIDEA 15
3633,"UREZARANTZA BIDEA, 7-9"
3634,"UREZARANTZA BIDEA, 15"
3635,"URESARANSE BIDEA, 7-9"
3636,ZABALE-OÑETI BIDEA
3637,ZABALE-OÑETI BIDEA
3638,"URTIENE ESTRATA, 3 GÓRLIZ, ESPAÑA"
3639,"IBIAGA ESTRATA ESTRATA, 1"
3640,"IBIAGA ESTRATA ESTRATA, 1"
3641,"SAGASTI KALEA, 12"
3642,"KINPULENE KALEA, 36"
3643,ALDAI AZPI KALEA 
3644,ITURRI BIDEA 1 A
3645,UREZARANTZA BIDEA 10A 3ºDC
3646,MIMENALDE
3647,"ANDRA-MARI KALEA, 8"
3648,KINPULENE 10
3649,"URESARANSE BIDEA, 9-7"
3650,ETORBIDEA GASATZA BIDEA 1F (48630)
3651,"URZURIAGA BIDEA, 1"
3652,JUNKERA BIDEA
3653,LANDABARRI ESTRATA ESTRATA
3654,LANDABARRI ESTRATA ESTRATA
3655,"ROTURETA KALEA, 8"
3656,"MUSUAGA BIDEA, 3"
3657,ERREMENTARI BIDEA
3658,MASTIETA BIDEA 7
3659,"KAUTELA ERREPIDEA, 25"
3660,ANDRA MARI 2
3661,"GANDIA ERREPIDEA, 15"
3662,"ARTEBIONDO ESTRATA, 1"
3663,"GENTILBASO ESTRATA, 25"
3664,SERTUTXEALDE KALEA
3665,"AMEZAGA BIDEA, 16"
3666,UREZARANTZA BIDEA 19
3667,"ARENABARRI BIDEA, 4"
3668,ANDRA MARI BIDEA 8 (48630)
3669,"ROTURETA KALEA, 4"
3670,"TRIBIÑU KALEA 15, 3º IZ"
3671,"GANDIA ERREPIDEA, IRAKBINE ESTRATA, 1"
3672,"UREZARANTZA BIDEA, 21"
3673,"MASTIETA, 3"
3674,"KINPULENE KALEA 72, GÓRLIZ, ESPAÑA"
3675,GANDIA AUZOA
3676,KINPULENE KALEA 58 (48630)
3677,CL BASOTXU BIDEA 14
3678,CM ARENA BARRI BIDEA 2
3679,CL ARGIÑENA KALEA 10-B
3680,LUGAR BARRIO MIRANDA 2  
3681,"GELTOKI, 7"
3682,PADURA  Nº11  4º
3683,"GELTOKI BIDEA,5,5DCH"
3684,KALEA GALLARRAGA 41D  
3685,LACABEX-LEXARRETA
3686,"URRESTIETA,33"
3687,ESKAURIATZA 6
3688,BARRETAGUREN Nº22
3689,URRESTIETA 9B
3690,"ARRIETAMASKARUA, 19"
3691,"ARTXUBE, 6"
3692,IBARGUTXI 6
3693,MULIKAR 1
3694,ERREKALDE
3695,"MULIKAR, 2"
3696,MARKOLETA Nº 10 2-G
3697,MARKOLETA 10 2E
3698,GELTOKI BIDEA Nº3 5ºDCH
3699,ASTOBITZA 25
3700,ASKATASUNA KALEA 1  
3701,   
3702,UNNAMED ROAD   
3703,SANTXOSOLO 10
3704,ERETZA 20A
3705,KALEA LAMBARRI 12C  
3706,"ASTOBITZA KALEA, 6"
3707,LUJAR
3708,COLEGIO KOENE
3709,SOLOGUTXI
3710,COLEGIO KOENEN
3711,ARCHUBE
3712,BOLIBAR
3713,LANDALUZEA
3714,"ELUBARRI,16"
3715,"AUTONOMIA KALEA, 1"
3716,"GOIKURIA KALEA, 5"
3717,EUSKADI PLAZA
3718,GALLARRAGA Nº 39
3719,"IBARRA,2"
3720,URRUTIA Nº 2
3721,GALLARRAGA Nº 8
3722,SANTI MARIÑE
3723,ASKATASUNA 4
3724,SOLOGUTXI 2
3725,SOLOGUTXI Nº 2
3726,SOLOGUTXI Nº 2
3727,IORGI 15
3728,SOBARKOTXA 12
3729,SOBARKOTXA 12
3730,"LAZKAO,2"
3731,LASIER AUZOA
